key,durations
!<tab>b,"[4779.957,767.031]"
!bm,[26262.1362]
""",<left>",[2263.7908]
""",<space>",[5930.8604]
""".<space>",[10199.4487]
"""<backspace>-",[2525.3108]
"""<backspace>s",[552.2058]
"""<ctrl_l>",[22455.2527]
"""<down><left>",[1221.6367]
"""<end><space>",[2437.3862]
"""<home>i",[1101.0469]
"""<left><left>",[2340.1575]
"""<shift>)",[169.8904]
"""<shift>e",[456.957]
"""<space><space>","[312.3376,259.6099]"
"""<space>d",[543.1816]
"""<space>l",[3496.2156]
"""<space>u",[5471.6345]
"""be","[379.0818,1051.3638]"
"""co",[870.0957]
"""ko",[422.1624]
"""mm","[449.4094,353.6248]"
"""mu",[570.8582]
"""my",[518.1946]
"""no",[4344.9834]
"""on",[1643.4602]
#<end><backspace>,[15323.4558]
#<enter>i,[726738.519]
#<esc><shift>,[3667.6362]
#le,[1344.8569]
$<shift>(,[2166.865]
&<backspace><shift>,[1252.8921]
&<down><enter>,[1410.2666]
&<enter>b,[51448.5698]
&<shift>a,[638.136]
&<space><shift>,[873.9402]
'd<space>,[473.7954]
()<enter>,[607.3533]
()<left>,"[673.0454,629.978,326.8296,827.146,376.751,445.4983,533.3491,616.1877,802.9299,517.7488,565.1128]"
(<97><101>,[919.6938]
(<backspace>n,[749.2485]
(<down><shift>,[1170.4883]
(<end><shift>,[1251.4958]
"(<shift>""","[2142.2896,2255.3169]"
(<shift>),"[266.2048,83.5205]"
(<shift>c,[589.2097]
(<shift>n,[386.5337]
(<shift>p,[390.729]
(<shift>z,[848.7749]
(au,"[374.9426,466.6589]"
(da,[367.0364]
(k),[84.3962]
(ko,[321.7717]
(me,[308.1191]
(no,[398.8245]
(on,[389.8909]
(sc,[1259.9792]
(se,[264.7534]
(tb,[2829.645]
(tf,[646.6467]
(th,[622.7048]
(un,"[1065.2344,1403.3621,281.0378]"
(v.,[883.7593]
(wi,[596.7998]
).<ctrl_l>,[20979319.2017]
).<enter>,"[86780.7986,31384.7827]"
).<left>,[2337.998]
).<space>,"[8777.4709,4453.9846]"
).l,[1244.2375]
)<backspace><backspace>,"[963.2327,1030.8691]"
)<backspace><shift>,[1216.0117]
)<ctrl_l><shift>,[12976.6294]
)<delete><delete>,[8945.2546]
)<enter><ctrl_l>,"[11475.9849,16290.4988]"
)<enter><page_down>,[10429.1606]
)<enter><shift>,"[6412.9099,329462.2051]"
)<enter>h,[6130.397]
)<enter>s,[118267.5442]
)<esc><space>,[4129.9912]
)<left><98>,"[879.6567,758.114,811.7395]"
)<left><ctrl_l>,[776.9177]
)<left><left>,"[13021.3313,4704.3882]"
)<left><shift>,"[2637.4907,1356.7644,1424.7913]"
)<left>a,[2741.0449]
)<left>e,[964.8503]
)<left>o,[627.335]
)<left>s,[1438.0452]
)<left>u,"[953.0278,10895.3469]"
)<page_down><page_down>,[9112.5828]
")<shift>""",[6645.8323]
)<shift>;,"[1974.3333,186.5742]"
)<space><backspace>,[12490.4292]
)<space><end>,[842.0989]
)<space><shift>,[621.6611]
)<space><space>,[103366.9946]
)<space><up>,[5809.0256]
)<space>d,[678.3127]
)<space>f,[412.7554]
)<space>n,"[58837.8606,572.4343,823.5442]"
)<space>o,[2473.4788]
)<space>v,[542.3562]
)<tab><backspace>,[4350.8059]
*<101><enter>,[1855.7981]
*<97><96>,[925.667]
*<98><tab>,[3957.9089]
*<backspace><96>,[920.0793]
*<backspace><shift>,[1119.7307]
*<enter><backspace>,[22151.6963]
*<enter><delete>,[42232.7878]
*<enter>l,[22346.1045]
*gi,[412.5161]
++<down>,[5237.4883]
+-<shift>,[1627.0835]
+<backspace>#,[1439.4963]
+<delete><delete>,[8512.9353]
+<down><home>,"[2756.9553,1245.1418]"
+<left><left>,[3198.5559]
+<shift>(,"[907.0942,626.4592]"
+<shift>:,[1669.9841]
+<shift><shift>,[6445.0049]
+<shift>c,[1691.9578]
+<shift>u,[2889.0938]
+<shift>v,[2479.8916]
+<shift>x,[2168.6709]
+<space><end>,[1070.4673]
+om,[359.7749]
+td,[570.062]
+th,[425.0881]
",,<ctrl_l>",[564.1375]
",,<space>","[554.7488,115.3691,115.7664,107.4629,148.5459,107.6631,192.6804,98.384,124.9231,178.6904,116.073,88.7324,142.7434,125.282,107.4011,141.3,98.1267,88.2163,80.1526,96.7656,803.3662,125.7112,156.092,221.1257,140.0149,79.3296,15761.6162,157.4663,115.2119,130.5332,124.7393,137.3401,103.6504,105.6643,389.2183,148.5801]"
",72",[638.9824]
",<104><96>","[1110.6594,967.7654]"
",<98><space>",[418.4031]
",<98>m",[1252.6003]
",<98>n",[2484.6943]
",<backspace><backspace>","[443.9304,2391.6758]"
",<backspace><delete>",[34323.0378]
",<backspace><enter>",[85712.1907]
",<backspace><shift>",[985.511]
",<backspace>z",[20340.1528]
",<ctrl_l><alt_gr>",[564.3855]
",<ctrl_l><shift>",[2556009.9958]
",<down><down>","[4145.1255,61650.8137]"
",<end><backspace>",[4148.9143]
",<end><enter>","[6065.6797,2619.6362]"
",<end><left>",[1888.4707]
",<end>d",[1012.9707]
",<enter><enter>","[520.385,944.0693,975.4629,780.4573,653.0845,537.9939,483.2009,1218.5068,549.9988,33896.1411,2392.5972]"
",<left><left>",[1745.8787]
",<right><right>","[669.9941,1286.3127]"
",<shift>a",[310.4456]
",<shift>c",[474.5942]
",<shift>d","[363.8081,440.4827,178638.0095]"
",<shift>i",[263.9597]
",<shift>v",[585.5134]
",<shift>w","[276.2334,241.8923]"
",<space>,",[22422.9062]
",<space><backspace>","[107032.7297,379.1006,2245.5359,458.1814,480.9539,186015.553,1808.594]"
",<space><ctrl_l>","[11274.7417,7761.9016,23432.0024,601.24,5632.4309]"
",<space><delete>",[4126.105]
",<space><enter>",[7905.3892]
",<space><left>",[960.9934]
",<space><page_down>","[11280.8796,13986.8728]"
",<space><shift>","[442.136,4919.6633,517.271,715.5205,429398.553,598.0012,545.8794,751.3599,409.9167,531.981,652.5632,48897.4099,823.1475,422.8926,40647.5232,445.8694,574.457,494.0432,437.9253,1266.9082,593.1311,551.4561,523.1599]"
",<space><space>","[155.925,80.0718,148.428,161.7991,803.3379,107.4102,105.8069,142.8127,124.6755,125.2656,88.0718,98.3459,554.8503,115.9539,79.5095,15761.5566,389.1577,96.4824,192.7051,157.4099,107.3489,221.4214,107.9802,142.1238,115.4395,103.8264,98.1133,178.7839,125.5334,88.4062,124.9324,139.2849,154.282,141.2891,114.9905,132.5603]"
",<space>a","[269.1479,183.1699,5507.4868,232.7161,321.2705,319.6548,207.4653,205.5146,245.3215,258.0293,193.0193,419.8633,168.1924,213.0903,316.9199,231.8123,371.4473,229.1548,271.0232,230.3235,168.4814,235.1775,254.4331,376.9873,246.5159,220.5928,368.2314,222.6123,178.6294,249.9399,219.4688,496.0566,238.7478,303419.2306,1314860.8325]"
",<space>b","[249.8555,303.3054,294.7507,249.8037,367.9268,257.0974]"
",<space>d","[233.3384,265.8374,259.9041,910.3584,238.3186,299.7297,270.4966,187.5759,270.0256,2602.7339,225.3572,191.1416,270.1848,195.2004,284.7542,266.6919,259.9465,220.9978,229.9243,302.2485,216.4595,199.9333,193.4578,750.3142,324.1086,237.6169,290.7832,16671.6311,2199.2322,176.5525,688.9639,209.2781,363.7251,254.6821,298.7832,236.9751,1098.2251,274.2903,231.9614,211.0232,358.0242,198.8162,157.0112,220.3391,218.5503,233.1685,231.3887,278.1365,260.7261,203.0801,252.3564,301.0674,197.9241,242.0212,240.8479,204.3677,317.238,207.2195,5335.2268,264.1938,239.9846,206.2048,210.4866,-669853.6688,947027.5599,558946.6465,503533.836,497594.42,-149264.7749,358788.8596]"
",<space>e","[313.4836,366.1768,296.2747,22288.3455,312.3442,292.9739,259.2454,2758.6223,1220.9377,738.5193,-310713.1503,-174429.1756]"
",<space>f","[261.5659,242.9253,226.9626,1915.2771]"
",<space>g","[471.8984,995.3611]"
",<space>h","[282.9058,379.3518,304.4473,450.0388,401.8091]"
",<space>i","[208.5818,204.4407,535.6035,168.2607,255.106,266.4502,320.1057,340.0198]"
",<space>j",[411.2581]
",<space>k",[289.0754]
",<space>l","[1100.9539,462.0034,320.9043,1902.395,312.1584,199.8767]"
",<space>m","[245.9438,399.0127]"
",<space>n","[4765.8459,330.2034,322.3044,284.2163,216.9097]"
",<space>o","[208.9087,232.1763,268.3245,364.0112,211.2461,428.6692,315.3269,259.5627,3782.5601]"
",<space>p",[225.1519]
",<space>s","[262.293,258.0276,271.7388,249.9429,2766.4858,284.6489,39913.0684,334.738,258.311,30586.6694,302.0601,458.2246,324.9084,242.1775,377.9587]"
",<space>t","[462.8979,253.2917,263.8423,381.5181]"
",<space>u","[311.0554,309.9302,640.8735,261.6238,270.8816,3710.4058,2234.6418,260.7383,221.9067,330.0049]"
",<space>v",[280.9583]
",<space>w","[182.4331,399.373,303.8398,263.6001,232.4485,253.3774,228.6785,252.3127,304.6948,195.5754,228.2612,219.0251,229.0122,212.5466,178.6709,555.7231,261.79,286.9587,194.5181,258.04,190.3225,283.1106,228.2283,170.6096,212.4521,210.5627,556.385,171.5881,424.0234,198.6833,631.7546,358.8984,237.6658,388.4915,248.0806,-282440.92,250827.3456]"
",<space>z","[560.8667,3047.083,297.832,286.9727,205.3091,317.8623]"
",i<backspace>",[418.605]
",im",[68326.3733]
",o<backspace>",[51749.8887]
"-,<space>","[1199.5339,4882.5837]"
--v,[425.0774]
-<101><space>,[753.8982]
-<104><96>,[983.5972]
-<96><102>,[720.8799]
-<97><101>,[981.2568]
-<97><102>,[417.9514]
-<97><96>,"[1316.9785,1279.9062]"
-<97><97>,[1447.9863]
-<97><99>,[1229.1111]
-<98><98>,[635.6416]
-<backspace><101>,[1520.0952]
-<backspace><104>,[3165.5339]
-<backspace><backspace>,"[719.8015,922.7859,31615.198]"
-<backspace><shift>,"[925.1067,46378.1506]"
-<backspace>i,[329.9546]
-<backspace>n,"[167.261,1554.0217]"
-<ctrl_l>,"[269889.1794,27286.0696]"
-<ctrl_l><alt_gr>,[246.27]
-<delete><shift>,"[17504.7166,2123.8818,42169.6211]"
-<down><page_down>,[7305.355]
-<end><space>,[586.2754]
-<enter>m,[279849.5459]
-<esc><space>,[4520.9888]
-<esc>k,[10603.9849]
-<shift>),"[117.8359,32.8679,77.7395,110.3574,61.2673,13.7527,27.2959,3.1284,35.6558,65.9551]"
-<shift><shift>,"[18268.4224,183.4009,980.9924,364.6272,257.2288]"
-<shift>a,"[581.6536,320.4951]"
-<shift>b,"[282.5393,1543.3037]"
-<shift>c,"[265.9834,362.1802,472.3064]"
-<shift>d,"[353.1572,272.2402,244.564,284.2976]"
-<shift>e,[322.4622]
-<shift>f,"[689.2415,481.5798,546.3032,217.1499,313.5427,328.8059]"
-<shift>g,"[7803.2964,356.8367,302.1499,502.9966]"
-<shift>h,"[307.1394,558.2456,415.9846]"
-<shift>i,"[304.7883,413.2437,331.9946]"
-<shift>k,"[15007.1731,345.0281,839.1433,42150.4631,337.0649]"
-<shift>l,"[281.3867,345.9841]"
-<shift>m,[286.5813]
-<shift>n,[413.793]
-<shift>o,[308.0137]
-<shift>s,"[362.1826,439.8159,472.0688]"
-<shift>t,"[283.856,258.8333,326.8804]"
-<shift>w,"[900.8103,424.3196]"
-<space><shift>,"[74019.7566,1993.4658]"
-<space><space>,[397.3472]
-a<enter>,[579.4575]
-be,[348.8113]
-co,"[302.7102,989.6096]"
-cw,[269.865]
-de,[285.1306]
-ei,[17050.1914]
-fo,"[217.2234,219.1562]"
-fu,"[477.6533,284868.0027]"
-fü,[33137.2522]
-g<space>,[1095.5874]
-ha,"[208.3691,267.8127,374.875,630.158,314.6348]"
-jf,[198.8071]
-jn,"[260.072,199.5598]"
-ku,[206.0029]
-l<enter>,"[564.1619,692.4229]"
-l<space>,[346.1282]
-lt,[291.9917]
-ma,"[320.5662,216.4514]"
-me,"[4919.6121,15650.6238]"
-rc,"[265.9326,483.7551]"
-re,[434.876]
-se,"[185.9426,466.1755,189.1304,187.5908]"
-vi,[573.168]
-w<backspace>,[710644.9719]
-we,[114419.0295]
".,<down>",[88950.4229]
".,<space>",[97417.5996]
...,"[282.6648,364.4822,298.9993,297.0757,288.4282,-822070.4005,-157930.3047,526905.1247,-143248.6476]"
..<backspace>,"[11832.1565,23257.415,10065.5974,6632.1895]"
..<ctrl_l>,"[1143.4412,457.1255,724.4314,7329.0605,4382.6648]"
..<enter>,"[416.6978,394.377,413.3904,409.0457,11822.4961,558.2466,707.8594,353.738,453.2939,404.854,880.0361,2545.6167,360.1841]"
..<space>,"[141.915,139.6616,130.5762,157.9172,124.3352,166.887,7926.0364,745.1709,5745.3843,78.1362,130.272,169.2664,2251.551,620.5493,630.2046,4491.8225,142.3518,874.3508,32773.5935,134.7151,223.2305,113.7778,2763.6326]"
..<tab>,[447.9065]
..d,[123.0242]
..i,[266.106]
..k,[4538.3091]
..n,[3408.0413]
.06,[97581.1003]
.10,[86842.5747]
.<100><backspace>,[1667.5781]
.<102>.,[1937.0222]
.<105>.,[970.231]
.<96><100>,[859.0952]
.<96><105>,[990.7383]
.<96><98>,[1049.9172]
.<96><99>,[879.9966]
.<96><space>,[1615.5256]
.<97><97>,[510.0083]
.<97><98>,[420.9983]
.<98><101>,[2551.5493]
.<98><96>,"[481.5903,1142.2952,592.8259,486.9043,980.3208,876.7563]"
.<99><backspace>,[444.9983]
.<99><space>,"[627.8032,1479.7288]"
".<backspace>,","[41719.0305,3817.3213]"
.<backspace><backspace>,"[36222.1731,12000.7361,112646.2151,42721.6118,24515.342]"
.<backspace><enter>,[764.5813]
.<backspace><right>,[23920.8398]
.<backspace><shift>,[5530.2876]
.<backspace><shift_r>,[7336.2588]
.<backspace><space>,"[25632.3965,10595.2932]"
.<backspace>q,[2005.5559]
.<backspace>s,[62472.4192]
.<ctrl_l>,[14470.9683]
.<ctrl_l><255>,[4596.8193]
.<ctrl_l><alt_gr>,"[7326.3115,456.8613,1143.6663,713.2012,724.7224]"
.<ctrl_l><backspace>,[7223.5508]
.<ctrl_l>p,[21143828.2339]
.<delete><delete>,[23026.9858]
.<delete><space>,"[3598.9492,39513.4604]"
.<down><down>,[1279.6775]
.<down><page_down>,[8013.6895]
.<end><shift>,[24505.5786]
.<enter><backspace>,[1125.3765]
.<enter><ctrl_l>,"[51861.7295,32857.6067,215844.5791,100405.3711,29164.8345,1260.2996,12258.751,8946.8831,242388.3777,181449.3196,254344.7197]"
.<enter><delete>,[582603.8916]
.<enter><down>,"[2408.3835,5554.4275]"
.<enter><enter>,"[3456.553,49338.511,38181.0085,9588.9121,4572.03,1003.9014,5260.4268,11822.5107,707.6311,31795.864,4962.52,4016.6279,11010.6909]"
.<enter><home>,[892467.0496]
.<enter><page_down>,"[3845.6926,3487.5078,3532.8171]"
.<enter><page_up>,[7065.8596]
.<enter><shift>,"[157257.5325,63553.8091,167579.5942,1791.4944,93109.8547,14336.0859,4174.4602,9080.7583,2865.7402,26640.5674,23439.4927,12056.5403,5065.0955,2161.7849,2930.897,85405.4263,4819.646,7548.6453,4601.261,2465.7778,12755.6675,17952.8672,2007.7693,1417.1045,592510.0928,25903.2061]"
.<enter><space>,[1800.7573]
.<enter><up>,"[15622.7219,9516.4724,1378.9753,1171.2954]"
.<enter>a,[38971.9182]
.<enter>c,"[5413.1685,3414.0527,1326.3796,1224.8694,1507.4688]"
.<enter>f,"[72722.0229,32063.7966,84083.0322]"
.<enter>g,[264781.4763]
.<enter>l,"[915.5073,456.2532,880.8091,1029.0652]"
.<enter>s,[8488.0833]
.<enter>u,[443598.4858]
.<esc><space>,[4369.366]
.<home>o,[3849.8616]
.<left><ctrl_l>,[2465.5723]
.<left><left>,"[4979.0322,14707.27,1914.6069,1012.5979,1059.991,1001.4858,438.4417,1001.5356]"
.<left><right>,[7199.6211]
.<page_down><page_down>,[17475.01]
.<page_up><page_down>,[231517.4873]
.<page_up><page_up>,[11531.0186]
".<shift>""",[590.1313]
.<shift>),[462.8923]
.<shift><ctrl_l>,[128224.7388]
.<shift><enter>,"[13814.8604,24889.5398,4691.9607,3565.0295]"
.<shift><shift>,[12610.1519]
.<shift>?,[1031.3918]
.<shift>b,"[406.3765,356.8621,400.1094,375.6926,337.72,358.7324,366.4595,344.5789,340.6084,461.2478,767.5967]"
.<shift>i,[5535.3958]
.<shift>k,[26403.7168]
.<shift>s,[549.5002]
.<shift>v,[21014.8958]
".<space>,",[18875.3669]
.<space><backspace>,"[929.8306,610.9514,964.446,607.0745,16052.0166]"
.<space><ctrl_l>,[13238.8928]
.<space><delete>,[10804.3394]
.<space><down>,"[8833.5659,7291.7976]"
.<space><enter>,"[8805.0237,34969.2346]"
.<space><page_down>,[79700.1094]
